page_url,city_from,city_to,price,segment
https://city2city.ru/handyga-jakutsk,Хандыга,Якутск,12600,DIRECT
https://city2city.ru/kaluga-tarusa,Калуга,Таруса,2000,SEO
https://city2city.ru/kazan-malmyzh,Казань,Малмыж,5000,SEO
https://city2city.ru/ekaterinburg-serov,Екатеринбург,Серов,10500,DIRECT
https://city2city.ru/irkutsk-ust-ilimsk,Иркутск,Усть-Илимск,27000,DIRECT
https://city2city.ru/joshkar-ola-kirov,Йошкар-Ола,Киров,9000,SEO
https://city2city.ru/irkutsk-tulun,Иркутск,Тулун,12000,DIRECT
https://city2city.ru/blagoveshhensk-nerjungri,Благовещенск,Нерюнгри,29400,DIRECT
https://city2city.ru/kemerovo-barnaul,Кемерово,Барнаул,12000,DIRECT
https://city2city.ru/ekaterinburg-oktyabrskij-5,Екатеринбург,Октябрьский,18500,DIRECT
https://city2city.ru/astraxan-kamyzyak,Астрахань,Камызяк,3000,SEO
https://city2city.ru/ivanovo-kovrov,Иваново,Ковров,4300,SEO
https://city2city.ru/bryansk-trubchevsk,Брянск,Трубчевск,3000,SEO
https://city2city.ru/ivanovo-privolzhsk,Иваново,Приволжск,2000,SEO
https://city2city.ru/barnaul-tomsk,Барнаул,Томск,14700,DIRECT
https://city2city.ru/bryansk-karachev,Брянск,Карачев,3000,SEO
https://city2city.ru/ivanovo-rodniki,Иваново,Родники,3000,SEO
https://city2city.ru/habarovsk-jakutsk,Хабаровск,Якутск,69900,DIRECT
https://city2city.ru/kazan-kukmor,Казань,Кукмор,5100,SEO
https://city2city.ru/kazan-salavat,Казань,Салават,19800,DIRECT
https://city2city.ru/kaluga-meshhovsk,Калуга,Мещовск,2500,SEO
https://city2city.ru/ekaterinburg-snezhinsk,Екатеринбург,Снежинск,3000,SEO
https://city2city.ru/izhevsk-naberezhnye-chelny,Ижевск,Набережные Челны,5500,SEO
https://city2city.ru/kaluga-smolensk,Калуга,Смоленск,10500,DIRECT
https://city2city.ru/chelyabinsk-sankt-peterburg,Челябинск,Санкт-Петербург,73200,DIRECT
https://city2city.ru/chelyabinsk-karabash,Челябинск,Карабаш,3500,SEO
https://city2city.ru/kaluga-bryansk,Калуга,Брянск,7000,SEO
https://city2city.ru/kazan-mamadysh,Казань,Мамадыш,5600,SEO
https://city2city.ru/kazan-novocheboksarsk,Казань,Новочебоксарск,4500,SEO
https://city2city.ru/ekaterinburg-voronezh,Екатеринбург,Воронеж,54200,DIRECT
https://city2city.ru/bryansk-sevsk,Брянск,Севск,4000,SEO
https://city2city.ru/bryansk-kaluga,Брянск,Калуга,6800,SEO
https://city2city.ru/bryansk-novozybkov,Брянск,Новозыбков,6000,SEO
https://city2city.ru/ekaterinburg-talicza,Екатеринбург,Талица,6500,SEO
https://city2city.ru/ekaterinburg-sredneuralsk,Екатеринбург,Среднеуральск,3000,SEO
https://city2city.ru/ekaterinburg-samara,Екатеринбург,Самара,27200,DIRECT
https://city2city.ru/cheboksary-naberezhnye-chelny,Чебоксары,Набережные Челны,12000,DIRECT
https://city2city.ru/ekaterinburg-kirov,Екатеринбург,Киров,25500,DIRECT
https://city2city.ru/joshkar-ola-zvenigovo,Йошкар-Ола,Звенигово,3000,SEO
https://city2city.ru/belgorod-tula,Белгород,Тула,14500,DIRECT
https://city2city.ru/ekaterinburg-kirov-2,Екатеринбург,Киров,25500,DIRECT
https://city2city.ru/belgorod-alekseevka,Белгород,Алексеевка,38000,DIRECT
https://city2city.ru/chelyabinsk-shadrinsk,Челябинск,Шадринск,6500,SEO
https://city2city.ru/kaluga-podolsk,Калуга,Подольск,4500,SEO
https://city2city.ru/ivanovo-kazan,Иваново,Казань,19000,DIRECT
https://city2city.ru/ekaterinburg-artyomovskij,Екатеринбург,Артёмовский,4200,SEO
https://city2city.ru/ivanovo-ryazan,Иваново,Рязань,10500,DIRECT
https://city2city.ru/astraxan-axtubinsk,Астрахань,Ахтубинск,9300,SEO
https://city2city.ru/ekaterinburg-turinsk,Екатеринбург,Туринск,8000,SEO
https://city2city.ru/ekaterinburg-kushva,Екатеринбург,Кушва,5500,SEO
https://city2city.ru/kazan-sterlitamak,Казань,Стерлитамак,18500,DIRECT
https://city2city.ru/bryansk-surazh,Брянск,Сураж,5000,SEO
https://city2city.ru/belgorod-vologda,Белгород,Вологда,33900,DIRECT
https://city2city.ru/belgorod-orel,Белгород,Орёл,9000,SEO
https://city2city.ru/blagoveshhensk-xabarovsk,Благовещенск,Хабаровск,21600,DIRECT
https://city2city.ru/elista-rostov-na-donu,Элиста,Ростов-на-Дону,13500,DIRECT
https://city2city.ru/kemerovo-mariinsk,Кемерово,Мариинск,5000,SEO
https://city2city.ru/bryansk-unecha,Брянск,Унеча,5000,SEO
https://city2city.ru/ekaterinburg-nizhnie-sergi,Екатеринбург,Нижние Серги,3000,SEO
https://city2city.ru/ivanovo-aleksandrov,Иваново,Александров,6500,SEO
https://city2city.ru/kazan-sochi,Казань,Сочи,59400,DIRECT
https://city2city.ru/izhevsk-orenburg,Ижевск,Оренбург,21800,DIRECT
https://city2city.ru/belgorod-tambov,Белгород,Тамбов,14200,DIRECT
https://city2city.ru/bryansk-voronezh,Брянск,Воронеж,13500,DIRECT
https://city2city.ru/belgorod-nizhnij-novgorod,Белгород,Нижний Новгород,32500,DIRECT
https://city2city.ru/cheboksary-zelenodolsk,Чебоксары,Зеленодольск,3500,SEO
https://city2city.ru/barnaul-zmeinogorsk-2,Барнаул,Змеиногорск,9900,SEO
https://city2city.ru/ekaterinburg-verxnij-tagil,Екатеринбург,Верхний Тагил,3000,SEO
https://city2city.ru/kazan-abdulino,Казань,Абдулино,13200,DIRECT
https://city2city.ru/barnaul-novokuznetsk,Барнаул,Новокузнецк,12500,DIRECT
https://city2city.ru/kaluga-oryol,Калуга,Орёл,6500,SEO
https://city2city.ru/ekaterinburg-orsk,Екатеринбург,Орск,24600,DIRECT
https://city2city.ru/kazan-vladimir,Казань,Владимир,18600,DIRECT
https://city2city.ru/kazan-penza,Казань,Пенза,15900,DIRECT
https://city2city.ru/kazan-zvenigovo,Казань,Звенигово,3800,SEO
https://city2city.ru/cheboksary-kozmodemyansk,Чебоксары,Козьмодемьянск,2000,SEO
https://city2city.ru/joshkar-ola-yaransk,Йошкар-Ола,Яранск,2500,SEO
https://city2city.ru/kaluga-suxinichi,Калуга,Сухиничи,3000,SEO
https://city2city.ru/ekaterinburg-kirovgrad,Екатеринбург,Кировград,3000,SEO
https://city2city.ru/blagoveshhensk-cziolkovskij,Благовещенск,Циолковский,7400,SEO
https://city2city.ru/ekaterinburg-verxnyaya-salda,Екатеринбург,Верхняя Салда,5000,SEO
https://city2city.ru/ekaterinburg-gubaxa,Екатеринбург,Губаха,12000,DIRECT
https://city2city.ru/belgorod-tver,Белгород,Тверь,24900,DIRECT
https://city2city.ru/bryansk-obninsk,Брянск,Обнинск,8500,SEO
https://city2city.ru/bryansk-tula,Брянск,Тула,10000,DIRECT
https://city2city.ru/kaluga-voronezh,Калуга,Воронеж,13000,DIRECT
https://city2city.ru/joshkar-ola-nizhnij-novgorod,Йошкар-Ола,Нижний Новгород,10500,DIRECT
https://city2city.ru/chelyabinsk-bajmak,Челябинск,Баймак,13500,DIRECT
https://city2city.ru/ekaterinburg-sochi,Екатеринбург,Сочи,81300,DIRECT
https://city2city.ru/elista-essentuki,Элиста,Ессентуки,10500,DIRECT
