page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count
https://city2city.ru/svo-taxi-rostov-na-donu-stahanov;Ростов-на-Дону;Стаханов;такси Ростов-на-Дону Стаханов;3;;0
https://city2city.ru/svo-taxi-rovenki-lugansk;рабочий посёлок Ровеньки;Луганск;такси Ровеньки Луганск;3;такси луганск ровеньки;3
https://city2city.ru/donetsk-maykop;Донецк;Майкоп;такси Донецк Майкоп;2;;0
https://city2city.ru/donetsk-saransk;Донецк;Саранск;такси Донецк Саранск;2;;0
https://city2city.ru/donetsk-tambov;Донецк;Тамбов;такси Донецк Тамбов;2;;0
https://city2city.ru/lugansk-ryazan;Луганск;Рязань;такси Луганск Рязань;2;;0
https://city2city.ru/mariupol-kursk;Мариуполь;Курск;такси Мариуполь Курск;2;;0
https://city2city.ru/mariupol-voronezh;Мариуполь;Воронеж;такси Мариуполь Воронеж;2;;0
https://city2city.ru/svo-taxi-kamenka-smolensk;село Каменка;Смоленск;такси Каменка Смоленск;2;;0
https://city2city.ru/svo-taxi-krasnyy-luch-rostov-na-donu;Красный луч;Ростов-на-Дону;такси Красный луч Ростов-на-Дону;2;;0
https://city2city.ru/tokmak-samara;Токмак;Самара;такси Токмак Самара;2;;0
https://city2city.ru/donetsk-yoshkar-ola;Донецк;Йошкар-Ола;такси Донецк Йошкар-Ола;1;;0
https://city2city.ru/energodar-simferopol;Энергодар;Симферополь;такси Энергодар Симферополь;1;;0
https://city2city.ru/lugansk-kirov;Луганск;Киров;такси Луганск Киров;1;;0
https://city2city.ru/lugansk-kostroma;Луганск;Кострома;такси Луганск Кострома;1;;0
https://city2city.ru/lugansk-saransk;Луганск;Саранск;такси Луганск Саранск;1;;0
https://city2city.ru/mariupol-kazan;Мариуполь;Казань;такси Мариуполь Казань;1;;0
https://city2city.ru/mariupol-stavropol;Мариуполь;Ставрополь;такси Мариуполь Ставрополь;1;;0
https://city2city.ru/melitopol-penza;Мелитополь;Пенза;такси Мелитополь Пенза;1;;0
https://city2city.ru/melitopol-ufa;Мелитополь;Уфа;такси Мелитополь Уфа;1;;0
https://city2city.ru/svo-taxi-kpp-uspenka-donetsk;село Авило-Успенка;Донецк;такси Авило-Успенка Донецк;1;;0
https://city2city.ru/svo-taxi-rostov-na-donu-novosibirsk;Ростов-на-Дону;Новосибирск;такси Ростов-на-Дону Новосибирск;1;;0
https://city2city.ru/svo-taxi-rubezhnoe-lugansk;Рубежное;Луганск;такси Рубежное Луганск;1;такси луганск рубежное;1
https://city2city.ru/svo-taxi-sochi-aeroport-donetsk;Сочи Аэропорт;Донецк;такси Сочи Аэропорт Донецк;1;;0
https://city2city.ru/energodar-rostov-na-don;Энергодар;Ростов-на-Дону;такси Энергодар Ростов-на-Дону;0;;0
https://city2city.ru/energodar-ufa;Энергодар;Уфа;такси Энергодар Уфа;0;;0
https://city2city.ru/lugansk-astrahan;Луганск;Астрахань;такси Луганск Астрахань;0;;0
https://city2city.ru/lugansk-perm;Луганск;Пермь;такси Луганск Пермь;0;;0
https://city2city.ru/lugansk-yoshkar-ola;Луганск;Йошкар-Ола;такси Луганск Йошкар-Ола;0;;0
https://city2city.ru/mariupol-ufa;Мариуполь;Уфа;такси Мариуполь Уфа;0;;0
https://city2city.ru/svatovo-belgorod;Сватово;Белгород;такси Сватово Белгород;0;;0
https://city2city.ru/svatovo-kazan;Сватово;Казань;такси Сватово Казань;0;;0
https://city2city.ru/svo-taxi-boguchar-saratov;Богучар;Саратов;такси Богучар Саратов;0;;0
https://city2city.ru/svo-taxi-donetsk-novopetrovka;Донецк;Новопетровка;такси Донецк Новопетровка;0;;0
https://city2city.ru/svo-taxi-donetsk-yurevka;Донецк;Юрьевка;такси Донецк Юрьевка;0;;0
https://city2city.ru/svo-taxi-ivanovo-lugansk;Иваново;Луганск;такси Иваново Луганск;0;;0
https://city2city.ru/svo-taxi-izvarino-lugansk;посёлок городского типа Изварино;Луганск;такси городского типа Изварино Луганск;0;;0
https://city2city.ru/svo-taxi-krasnyy-luch-mariupol;Красный луч;Мариуполь;такси Красный луч Мариуполь;0;;0
https://city2city.ru/svo-taxi-kremennaya-lugansk;Кременная;Луганск;такси Кременная Луганск;0;;0
https://city2city.ru/svo-taxi-mariupol-kpp-vesyolo-voznesenka;Мариуполь;Весёло-Вознесенка;такси Мариуполь Весёло-Вознесенка;0;;0
https://city2city.ru/svo-taxi-mariupol-yurevka;Мариуполь;Юрьевка;такси Мариуполь Юрьевка;0;;0
https://city2city.ru/svo-taxi-melitopol-dneprorudnoe;Мелитополь;Днепрорудное;такси Мелитополь Днепрорудное;0;;0
https://city2city.ru/svo-taxi-mineralnye-vody-aeroport-donetsk;Минеральные Воды Аэропорт;Донецк;такси Минеральные Воды Аэропорт Донецк;0;;0
https://city2city.ru/svo-taxi-novopetrovka-donetsk;село Новопетровка;Донецк;такси Новопетровка Донецк;0;;0
https://city2city.ru/svo-taxi-rossosh-severodonetsk;Россошь;Северодонецк;такси Россошь Северодонецк;0;;0
https://city2city.ru/svo-taxi-rostov-na-donu-energodar;Ростов-на-Дону;Энергодар;такси Ростов-на-Дону Энергодар;0;;0
https://city2city.ru/svo-taxi-rostov-na-donu-kazachi-lageri;Ростов-на-Дону;Казачьи Лагери;такси Ростов-на-Дону Казачьи Лагери;0;;0
https://city2city.ru/svo-taxi-rostov-na-donu-severodonetsk;Ростов-на-Дону;Северодонецк;такси Ростов-на-Дону Северодонецк;0;;0
https://city2city.ru/svo-taxi-sankt-peterburg-stahanov;Санкт-Петербург;Стаханов;такси Санкт-Петербург Стаханов;0;;0
https://city2city.ru/svo-taxi-svatovo-lugansk;Сватово;Луганск;такси Сватово Луганск;0;;0
https://city2city.ru/svo-taxi-yurevka-donetsk;село Юрьевка;Донецк;такси Юрьевка Донецк;0;;0
https://city2city.ru/tokmak-simferopol;Токмак;Симферополь;такси Токмак Симферополь;0;;0
