city_from;city_to;page_url;template;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
аэропорт Пулково;Ивангород;https://city2city.ru/aeroport-pulkovo-ivangorod;межгород {city_from} {city_to};межгород аэропорт Пулково Ивангород;0;;0;;0;;0
аэропорт Пулково;Ивангород;https://city2city.ru/aeroport-pulkovo-ivangorod;такси {city_from} {city_to} цена;такси аэропорт Пулково Ивангород цена;0;;0;;0;;0
аэропорт Пулково;Мурманск;https://city2city.ru/aeroport-pulkovo-murmansk;такси {city_from} {city_to};такси аэропорт Пулково Мурманск;0;;0;;0;;0
аэропорт Пулково;Мурманск;https://city2city.ru/aeroport-pulkovo-murmansk;трансфер {city_from} {city_to};трансфер аэропорт Пулково Мурманск;0;;0;;0;;0
аэропорт Пулково;Мурманск;https://city2city.ru/aeroport-pulkovo-murmansk;межгород {city_from} {city_to};межгород аэропорт Пулково Мурманск;0;;0;;0;;0
аэропорт Пулково;Мурманск;https://city2city.ru/aeroport-pulkovo-murmansk;такси {city_from} {city_to} цена;такси аэропорт Пулково Мурманск цена;0;;0;;0;;0
аэропорт Пулково;Псков;https://city2city.ru/aeroport-pulkovo-pskov;такси {city_from} {city_to};такси аэропорт Пулково Псков;1;;0;;0;;0
аэропорт Пулково;Псков;https://city2city.ru/aeroport-pulkovo-pskov;трансфер {city_from} {city_to};трансфер аэропорт Пулково Псков;1;;0;;0;;0
аэропорт Пулково;Псков;https://city2city.ru/aeroport-pulkovo-pskov;межгород {city_from} {city_to};межгород аэропорт Пулково Псков;0;;0;;0;;0
аэропорт Пулково;Псков;https://city2city.ru/aeroport-pulkovo-pskov;такси {city_from} {city_to} цена;такси аэропорт Пулково Псков цена;0;;0;;0;;0
аэропорт Пулково;Тихвин;https://city2city.ru/aeroport-pulkovo-tixvin;такси {city_from} {city_to};такси аэропорт Пулково Тихвин;0;;0;;0;;0
аэропорт Пулково;Тихвин;https://city2city.ru/aeroport-pulkovo-tixvin;трансфер {city_from} {city_to};трансфер аэропорт Пулково Тихвин;0;;0;;0;;0
аэропорт Пулково;Тихвин;https://city2city.ru/aeroport-pulkovo-tixvin;межгород {city_from} {city_to};межгород аэропорт Пулково Тихвин;0;;0;;0;;0
аэропорт Пулково;Тихвин;https://city2city.ru/aeroport-pulkovo-tixvin;такси {city_from} {city_to} цена;такси аэропорт Пулково Тихвин цена;0;;0;;0;;0
аэропорт Пулково;Великий Новгород;https://city2city.ru/aeroport-pulkovo-velikij-novgorod;такси {city_from} {city_to};такси аэропорт Пулково Великий Новгород;6;;0;;0;;0
аэропорт Пулково;Великий Новгород;https://city2city.ru/aeroport-pulkovo-velikij-novgorod;трансфер {city_from} {city_to};трансфер аэропорт Пулково Великий Новгород;4;;0;;0;;0
аэропорт Пулково;Великий Новгород;https://city2city.ru/aeroport-pulkovo-velikij-novgorod;межгород {city_from} {city_to};межгород аэропорт Пулково Великий Новгород;0;;0;;0;;0
аэропорт Пулково;Великий Новгород;https://city2city.ru/aeroport-pulkovo-velikij-novgorod;такси {city_from} {city_to} цена;такси аэропорт Пулково Великий Новгород цена;1;;0;;0;;0
Новосибирск (Толмачёво) терминал Б;Новоалтайск;https://city2city.ru/aeroport-tolmachevo-novosibirsk-novoaltaysk;такси {city_from} {city_to};такси Новосибирск (Толмачёво) терминал Б Новоалтайск;0;;0;;0;;0
Новосибирск (Толмачёво) терминал Б;Новоалтайск;https://city2city.ru/aeroport-tolmachevo-novosibirsk-novoaltaysk;трансфер {city_from} {city_to};трансфер Новосибирск (Толмачёво) терминал Б Новоалтайск;0;;0;;0;;0
Новосибирск (Толмачёво) терминал Б;Новоалтайск;https://city2city.ru/aeroport-tolmachevo-novosibirsk-novoaltaysk;межгород {city_from} {city_to};межгород Новосибирск (Толмачёво) терминал Б Новоалтайск;0;;0;;0;;0
Новосибирск (Толмачёво) терминал Б;Новоалтайск;https://city2city.ru/aeroport-tolmachevo-novosibirsk-novoaltaysk;такси {city_from} {city_to} цена;такси Новосибирск (Толмачёво) терминал Б Новоалтайск цена;0;;0;;0;;0
Алдан;Якутск;https://city2city.ru/aldan-jakutsk;такси {city_from} {city_to};такси Алдан Якутск;85;такси алдан якутск;85;такси якутск алдан номера;18;такси алдан якутск номера телефонов;12
Алдан;Якутск;https://city2city.ru/aldan-jakutsk;трансфер {city_from} {city_to};трансфер Алдан Якутск;9;трансфер якутск алдан;9;;0;;0
Алдан;Якутск;https://city2city.ru/aldan-jakutsk;межгород {city_from} {city_to};межгород Алдан Якутск;6;;0;;0;;0
Алдан;Якутск;https://city2city.ru/aldan-jakutsk;такси {city_from} {city_to} цена;такси Алдан Якутск цена;0;;0;;0;;0
Архангельск;Вологда;https://city2city.ru/arxangelsk-vologda;такси {city_from} {city_to};такси Архангельск Вологда;2;;0;;0;;0
Архангельск;Вологда;https://city2city.ru/arxangelsk-vologda;трансфер {city_from} {city_to};трансфер Архангельск Вологда;0;;0;;0;;0
Архангельск;Вологда;https://city2city.ru/arxangelsk-vologda;межгород {city_from} {city_to};межгород Архангельск Вологда;1;;0;;0;;0
Архангельск;Вологда;https://city2city.ru/arxangelsk-vologda;такси {city_from} {city_to} цена;такси Архангельск Вологда цена;0;;0;;0;;0
Астрахань;Адлер;https://city2city.ru/astraxan-adler;такси {city_from} {city_to};такси Астрахань Адлер;0;;0;;0;;0
Астрахань;Адлер;https://city2city.ru/astraxan-adler;трансфер {city_from} {city_to};трансфер Астрахань Адлер;0;;0;;0;;0
