page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count;related_json
https://city2city.ru/astraxan-xarabali;Астрахань;Харабали;такси Астрахань Харабали;47;такси харабали астрахань;47;лаптевы такси харабали астрахань;11;лаптевы такси харабали астрахань расписание;10;"[{""phrase"": ""такси харабали астрахань"", ""count"": ""47""}, {""phrase"": ""лаптевы такси харабали астрахань"", ""count"": ""11""}, {""phrase"": ""лаптевы такси харабали астрахань расписание"", ""count"": ""10""}]"
https://city2city.ru/astraxan-yalta;Астрахань;Ялта;такси Астрахань Ялта;1;;0;;0;;0;[]
https://city2city.ru/astraxan-zavolzhskoe;Астрахань;Заволжское сельское поселение;такси Астрахань Заволжское сельское поселение;0;;0;;0;;0;[]
https://city2city.ru/astraxan-zelenokumsk;Астрахань;Зеленокумск;такси Астрахань Зеленокумск;0;;0;;0;;0;[]
https://city2city.ru/astraxan-zheleznovodsk;Астрахань;Железноводск;такси Астрахань Железноводск;3;;0;;0;;0;[]
https://city2city.ru/astraxan-znamensk;Астрахань;Знаменск;такси Астрахань Знаменск;7;;0;;0;;0;[]
https://city2city.ru/barnaul-abakan;Барнаул;Абакан;такси Барнаул Абакан;4;;0;;0;;0;[]
https://city2city.ru/barnaul-aeroport-tolmachevo-novosibirsk;Барнаул;Новосибирск (Толмачёво) терминал Б;такси Барнаул Новосибирск (Толмачёво) терминал Б;0;;0;;0;;0;[]
https://city2city.ru/barnaul-alyaysk;Барнаул;Алейск;такси Барнаул Алейск;43;такси барнаул алейск;43;такси алейск барнаул цена;12;;0;"[{""phrase"": ""такси барнаул алейск"", ""count"": ""43""}, {""phrase"": ""такси алейск барнаул цена"", ""count"": ""12""}]"
https://city2city.ru/barnaul-belokuriha;Барнаул;Белокуриха;такси Барнаул Белокуриха;157;такси барнаул белокуриха;157;такси барнаул белокуриха цена;34;сколько стоит такси от барнаула до белокурихи;10;"[{""phrase"": ""такси барнаул белокуриха"", ""count"": ""157""}, {""phrase"": ""такси барнаул белокуриха цена"", ""count"": ""34""}, {""phrase"": ""сколько стоит такси от барнаула до белокурихи"", ""count"": ""10""}, {""phrase"": ""такси барнаул белокуриха расписание цена"", ""count"": ""10""}, {""phrase"": ""стоимость такси от барнаула до белокурихи"", ""count"": ""9""}]"
https://city2city.ru/barnaul-berdsk;Барнаул;Бердск;такси Барнаул Бердск;2;;0;;0;;0;[]
https://city2city.ru/barnaul-biysk-2;Барнаул;Бийск;такси Барнаул Бийск;104;такси бийск барнаул;104;такси барнаул бийск цена;19;такси бийск барнаул аэропорт;13;"[{""phrase"": ""такси бийск барнаул"", ""count"": ""104""}, {""phrase"": ""такси барнаул бийск цена"", ""count"": ""19""}, {""phrase"": ""такси бийск барнаул аэропорт"", ""count"": ""13""}, {""phrase"": ""такси барнаул бийск стоимость"", ""count"": ""13""}, {""phrase"": ""сколько стоит такси от бийска до барнаула"", ""count"": ""9""}]"
https://city2city.ru/barnaul-cherepanovo-2;Барнаул;Черепаново;такси Барнаул Черепаново;4;;0;;0;;0;[]
https://city2city.ru/barnaul-gorno-altaysk;Барнаул;Горно-Алтайск;такси Барнаул Горно-Алтайск;102;такси горно алтайск барнаул;102;такси барнаул горно алтайск цена;21;;0;"[{""phrase"": ""такси горно алтайск барнаул"", ""count"": ""102""}, {""phrase"": ""такси барнаул горно алтайск цена"", ""count"": ""21""}]"
https://city2city.ru/barnaul-iskitim-2;Барнаул;Искитим;такси Барнаул Искитим;1;;0;;0;;0;[]
https://city2city.ru/barnaul-krasnoyarsk;Барнаул;Красноярск;такси Барнаул Красноярск;5;;0;;0;;0;[]
https://city2city.ru/barnaul-kyzyl;Барнаул;Кызыл;такси Барнаул Кызыл;3;;0;;0;;0;[]
https://city2city.ru/barnaul-novoaltaysk;Барнаул;Новоалтайск;такси Барнаул Новоалтайск;65;такси барнаул новоалтайск;65;сколько стоит такси от барнаула до новоалтайска;11;такси барнаул новоалтайск цена;8;"[{""phrase"": ""такси барнаул новоалтайск"", ""count"": ""65""}, {""phrase"": ""сколько стоит такси от барнаула до новоалтайска"", ""count"": ""11""}, {""phrase"": ""такси барнаул новоалтайск цена"", ""count"": ""8""}]"
https://city2city.ru/barnaul-novokuznetsk;Барнаул;Новокузнецк;такси Барнаул Новокузнецк;8;такси барнаул новокузнецк;8;;0;;0;"[{""phrase"": ""такси барнаул новокузнецк"", ""count"": ""8""}]"
https://city2city.ru/barnaul-omsk;Барнаул;Омск;такси Барнаул Омск;6;;0;;0;;0;[]
https://city2city.ru/barnaul-rubtsovsk;Барнаул;Рубцовск;такси Барнаул Рубцовск;48;такси рубцовск барнаул;48;;0;;0;"[{""phrase"": ""такси рубцовск барнаул"", ""count"": ""48""}]"
https://city2city.ru/barnaul-slavgorod;Барнаул;Славгород;такси Барнаул Славгород;5;;0;;0;;0;[]
https://city2city.ru/barnaul-tomsk;Барнаул;Томск;такси Барнаул Томск;17;такси барнаул томск;17;;0;;0;"[{""phrase"": ""такси барнаул томск"", ""count"": ""17""}]"
https://city2city.ru/barnaul-yarovoe;Барнаул;Яровое;такси Барнаул Яровое;3;;0;;0;;0;[]
https://city2city.ru/barnaul-yurga;Барнаул;Юрга;такси Барнаул Юрга;1;;0;;0;;0;[]
https://city2city.ru/barnaul-zarinsk;Барнаул;Заринск;такси Барнаул Заринск;28;такси заринск барнаул;28;;0;;0;"[{""phrase"": ""такси заринск барнаул"", ""count"": ""28""}]"
https://city2city.ru/barnaul-zmeinogorsk-2;Барнаул;Змеиногорск;такси Барнаул Змеиногорск;15;такси барнаул змеиногорск;15;;0;;0;"[{""phrase"": ""такси барнаул змеиногорск"", ""count"": ""15""}]"
https://city2city.ru/belgorod-adler;Белгород;Адлер;такси Белгород Адлер;1;;0;;0;;0;[]
https://city2city.ru/belgorod-alekseevka;Белгород;Алексеевка;такси Белгород Алексеевка;16;белгород алексеевка такси;16;;0;;0;"[{""phrase"": ""белгород алексеевка такси"", ""count"": ""16""}]"
https://city2city.ru/belgorod-app-kolotilovka;Белгород;село Колотиловка;такси Белгород село Колотиловка;0;;0;;0;;0;[]
https://city2city.ru/belgorod-arxangelsk;Белгород;Архангельск;такси Белгород Архангельск;5;;0;;0;;0;[]
https://city2city.ru/belgorod-biryuch;Белгород;Бирюч;такси Белгород Бирюч;7;такси белгород бирюч белгородская область цена;5;;0;;0;"[{""phrase"": ""такси белгород бирюч белгородская область цена"", ""count"": ""5""}]"
https://city2city.ru/belgorod-boguchar;Белгород;Богучар;такси Белгород Богучар;4;;0;;0;;0;[]
https://city2city.ru/belgorod-borovichi;Белгород;Боровичи;такси Белгород Боровичи;0;;0;;0;;0;[]
https://city2city.ru/belgorod-chelyabinsk;Белгород;Челябинск;такси Белгород Челябинск;1;;0;;0;;0;[]
https://city2city.ru/belgorod-chernyanka;Белгород;посёлок городского типа Чернянка;такси Белгород посёлок городского типа Чернянка;0;;0;;0;;0;[]
https://city2city.ru/belgorod-ekaterinburg;Белгород;Екатеринбург;такси Белгород Екатеринбург;0;;0;;0;;0;[]
https://city2city.ru/belgorod-granicza-kitaj;Белгород;А-350;такси Белгород А-350;0;;0;;0;;0;[]
https://city2city.ru/belgorod-granicza-ukraina;Белгород;М-3 Украина;такси Белгород М-3 Украина;0;;0;;0;;0;[]
https://city2city.ru/belgorod-ivnya;Белгород;посёлок городского типа Ивня;такси Белгород посёлок городского типа Ивня;0;;0;;0;;0;[]
https://city2city.ru/belgorod-kaluga;Белгород;Калуга;такси Белгород Калуга;6;;0;;0;;0;[]
https://city2city.ru/belgorod-kanevskaya;Белгород;станица Каневская;такси Белгород станица Каневская;0;;0;;0;;0;[]
https://city2city.ru/belgorod-kazan;Белгород;Казань;такси Белгород Казань;15;белгород казань такси;15;;0;;0;"[{""phrase"": ""белгород казань такси"", ""count"": ""15""}]"
